tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
221.00,42143912#3_0,44.90,7.66,44.00,1.00,553352498#2_0,5.10,0.00,tripinfo_43 fcd_43,177.00,43,0,815.35,1.04,0.00,87.50,DEFAULT_VEHTYPE,,3,51.00
222.00,492471759#7_0,180.68,9.45,31.00,0.00,553352498#0_0,5.10,0.00,tripinfo_31 fcd_31,191.00,31,0,1303.10,1.15,0.00,57.65,DEFAULT_VEHTYPE,,2,34.00
224.00,542428844#2_0,56.00,7.24,36.00,0.00,40668087#0_0,5.10,0.00,tripinfo_36 fcd_36,188.00,36,0,902.09,0.97,0.00,75.71,DEFAULT_VEHTYPE,,3,44.00
227.00,337277973#1_1,74.82,4.47,134.00,0.00,337277951#4_0,5.10,0.00,tripinfo_134 fcd_134,93.00,134,0,129.34,1.23,0.00,79.97,DEFAULT_VEHTYPE,,2,68.00
228.00,337277984#4_0,105.67,10.36,202.00,0.00,45429543#2_0,5.10,0.00,tripinfo_202 fcd_202,26.00,202,0,210.15,1.03,0.00,3.96,DEFAULT_VEHTYPE,,0,0.00
229.00,49217108#2_0,87.62,5.12,17.00,0.00,45429543#0_0,5.10,0.00,tripinfo_17 fcd_17,212.00,17,0,973.39,0.94,0.00,93.55,DEFAULT_VEHTYPE,,3,59.00
229.00,42141326#10_1,100.60,6.49,169.00,0.00,42141326#4_0,5.10,0.00,tripinfo_169 fcd_169,60.00,169,0,435.31,0.94,0.00,17.77,DEFAULT_VEHTYPE,,1,6.00
232.00,337277984#2_1,62.31,5.95,102.00,0.00,49217108#2_0,5.10,0.00,tripinfo_102 fcd_102,130.00,102,0,382.86,0.97,0.00,83.66,DEFAULT_VEHTYPE,,3,50.00
233.00,337277984#0_0,50.00,9.88,77.00,0.00,553352498#0_0,5.10,0.00,tripinfo_77 fcd_77,156.00,77,0,837.84,0.98,0.00,54.94,DEFAULT_VEHTYPE,,1,41.00
236.00,337277984#1_0,43.81,7.76,57.00,3.00,42141326#5_0,5.10,0.00,tripinfo_54 fcd_54,179.00,54,0,666.02,1.00,0.00,114.69,DEFAULT_VEHTYPE,,5,69.00
